label,main_category_final,product_name,price_clean,actual_price_clean,rating_clean,reviews_clean,bought_count,is_best_seller_flag,has_coupon,label_source,label_confidence,price_log,reviews_log,bought_count_log,discount_pct,word_count,brand_tier
2,Computers & Accessories,"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",77,80.05,4.6,59092,50000,0,0,Keyword+AI,0.758813739,4.356708827,10.98686775,10.81979828,0.038101187,27,2
2,Computers & Accessories,"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",77,80.05,4.6,101072,50000,1,0,Keyword+AI,0.777863026,4.356708827,11.52359831,10.81979828,0.038101187,30,2
7,Phones,"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",134.39,134.39,4.5,171,0,0,0,Keyword,0.75,4.908159503,5.147494477,0,0,34,0
6,Other Electronics,OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,42.99,42.99,4.6,276,0,0,0,Keyword,0.75,3.783962335,5.624017506,0,0,12,0
0,Audio,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",11.06,11.06,4.7,123411,10000,1,0,Keyword,0.75,2.489894191,11.72328363,9.210440367,0,21,1
5,Other Category,"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",39.97,48.99,4.8,44109,10000,1,0,Keyword+AI,0.557720333,3.712840092,10.69444179,9.210440367,0.184119208,29,0
0,Audio,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",77,80.05,4.3,26559,10000,0,0,Keyword+AI,0.710993826,4.356708827,10.1871616,9.210440367,0.038101187,29,1
7,Phones,"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",77,80.05,4.6,4676,10000,0,0,Keyword,0.75,4.356708827,8.450412158,9.210440367,0.038101187,27,2
6,Other Electronics,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",20.39,21.89,4.8,67965,60000,0,0,Keyword,0.75,3.062923523,11.12676286,11.00211651,0.06852444,25,0
2,Computers & Accessories,"HP OfficeJet Pro 8125e Wireless All-in-One Color Inkjet Printer, Print, scan, Copy, ADF, Duplex Printing, Home & Office, 3 Months of Instant Ink Included (405T6A)",119.99,169.99,4.1,450,20000,0,0,Keyword+AI,0.842615962,4.795707898,6.11146734,9.903537551,0.294134949,25,2
2,Computers & Accessories,"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",19.99,29.99,4.2,33507,10000,1,0,Keyword+AI,0.624238104,3.044046134,10.4195395,9.210440367,0.333444481,29,1
7,Phones,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",159,219.99,4.4,15848,10000,0,0,Keyword+AI,0.778591931,5.075173815,9.670861686,9.210440367,0.277239875,26,2
8,TV & Display,"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",77,80.05,4.7,11785,10000,1,0,Keyword,0.75,4.356708827,9.374667665,9.210440367,0.038101187,29,2
6,Other Electronics,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",25.66,25.66,4.8,16952,50000,0,0,Keyword,0.75,3.283164315,9.738200088,10.81979828,0,27,0
7,Phones,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",77,80.05,4.6,16222,10000,0,0,Keyword,0.75,4.356708827,9.694185267,9.210440367,0.038101187,22,2
2,Computers & Accessories,"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",476.5,476.5,4.8,2377,10000,1,0,Keyword,0.75,6.16856416,7.774015077,9.210440367,0,8,0
2,Computers & Accessories,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",79.99,79.99,4.6,262557,10000,1,0,Keyword+AI,0.723465562,4.39432569,12.47822729,9.210440367,0,20,2
7,Phones,"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",77,80.05,4.6,6133,10000,0,0,Keyword,0.75,4.356708827,8.721602345,9.210440367,0.038101187,24,2
2,Computers & Accessories,"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",77,80.05,4.6,18532,30000,0,0,Keyword+AI,0.760126352,4.356708827,9.827308206,10.30898599,0.038101187,33,2
8,TV & Display,"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos Anywhere",85.99,85.99,4.1,264,0,0,1,Keyword,0.75,4.46579317,5.579729826,0,0,24,0
6,Other Electronics,"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",29.99,32.72,3.9,6335,500,0,1,Keyword,0.75,3.433664572,8.754002933,6.216606101,0.083435208,22,0
0,Audio,"Sanus Height Adjustable Speaker Stand for Sonos Era 300™ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",179.99,179.99,4.4,45,0,0,0,Keyword,0.75,5.198441781,3.828641396,0,0,30,0
2,Computers & Accessories,"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",52.89,71.87,4.6,24117,20000,0,0,Keyword+AI,0.763772964,3.986944932,10.09071373,9.903537551,0.264087937,28,2
1,Cameras,"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",77,80.05,4.8,1553,6000,0,0,Keyword,0.75,4.356708827,7.348587531,8.699681401,0.038101187,28,2
0,Audio,"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",12.69,12.69,4.7,231583,60000,1,0,Keyword,0.75,2.616665639,12.35269794,11.00211651,0,16,1
7,Phones,"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",138,169.99,4.1,4856,10000,1,0,Keyword,0.75,4.934473933,8.488176242,9.210440367,0.18818754,21,1
2,Computers & Accessories,"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",106.89,106.89,4.6,6931,20000,0,0,Keyword+AI,0.775320232,4.68111219,8.843903651,9.903537551,0,30,2
6,Other Electronics,"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",39.59,39.59,4.4,24693,10000,1,0,Keyword,0.75,3.703521731,10.11431558,9.210440367,0,22,1
4,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",77,80.05,4.8,1212,2000,0,0,Keyword+AI,0.735458076,4.356708827,7.100851909,7.601402335,0.038101187,29,2
8,TV & Display,Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,77,80.05,4.5,744,10000,0,0,Keyword+AI,0.683463603,4.356708827,6.613384218,9.210440367,0.038101187,22,0
6,Other Electronics,Meta Quest 3 512GB | Thirty Percent Sharper Resolution — 2X Graphical Processing Power — Play Without Wires — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Horizon+ Included,77,80.05,4.5,3316,9000,1,0,Keyword,0.75,4.356708827,8.106816039,9.105090961,0.038101187,31,0
2,Computers & Accessories,"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",154.89,154.89,4.6,6350,10000,0,0,Keyword+AI,0.697562814,5.04915063,8.75636756,9.210440367,0,25,2
6,Other Electronics,"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",11.89,18.99,4.6,19724,10000,1,0,Keyword,0.75,2.556451817,9.889642146,9.210440367,0.37388099,26,0
1,Cameras,"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",69.95,69.95,4.7,7235,500,0,0,Keyword,0.75,4.261975404,8.886823847,6.216606101,0,30,0
7,Phones,"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",134.39,134.39,4.5,171,0,0,0,Keyword,0.75,4.908159503,5.147494477,0,0,34,0
2,Computers & Accessories,Escort MAX 360c Radar Detector with Extra Mount & OBDII Cord Bundle,569.95,569.95,4.4,1465,50,0,0,Keyword,0.75,6.34730164,7.290292882,3.931825633,0,12,0
2,Computers & Accessories,"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",19.99,21.44,4.8,48326,40000,0,0,Keyword,0.75,3.044046134,10.78574569,10.59665973,0.067630597,32,2
2,Computers & Accessories,"Apple 20W USB-C Compact Power Adapter: Fast and Convenient Charging, Type C Wall Charger",77,80.05,4.8,5591,10000,0,0,Keyword,0.75,4.356708827,8.629092284,9.210440367,0.038101187,14,2
7,Phones,"Apple 2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",77,80.05,4.8,1356,5000,1,0,Keyword,0.75,4.356708827,7.21303166,8.517393171,0.038101187,30,2
4,Laptops,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",77,80.05,4.5,43204,10000,1,0,Keyword,0.75,4.356708827,10.67371151,9.210440367,0.038101187,21,1
2,Computers & Accessories,"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",135,135,4.6,885,10000,0,0,Keyword+AI,0.763184309,4.912654886,6.786716951,9.210440367,0,30,2
2,Computers & Accessories,"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",149.99,199.99,4.7,14168,10000,0,0,Keyword+AI,0.692769051,5.017213609,9.558811759,9.210440367,0.250012501,32,2
9,Wearables,"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",79.95,99.95,4.3,20039,10000,1,0,Keyword+AI,0.883240461,4.39383168,9.905485555,9.210440367,0.20010005,26,0
7,Phones,"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",103.99,103.99,4.7,18748,10000,0,0,Keyword,0.75,4.653865108,9.838895697,9.210440367,0,13,0
2,Computers & Accessories,"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",166.62,166.62,4.6,2617,10000,0,0,Keyword+AI,0.760945082,5.121699513,7.870165946,9.210440367,0,29,2
2,Computers & Accessories,"HP 64 Black & Tri-Color Ink Cartridges for HP Printers (Combo Pack) | Works with Printer Series: Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | X4D92AN",77,80.05,4.6,23765,20000,0,0,Keyword+AI,0.735665798,4.356708827,10.07601127,9.903537551,0.038101187,32,2
7,Phones,"Logitech H390 Gaming Headphones, Wired Headphones with Mic, USB Headset with Microphone for PC, Noise Cancelling Microphone for Video Meetings, Music, Gaming - Black",77,80.05,4.3,69082,10000,1,0,Keyword,0.75,4.356708827,11.14306396,9.210440367,0.038101187,24,1
8,TV & Display,"RCA 10.1"" WiFi Digital Picture Frame Uhale App Photo Frames Electronic HD IPS Touch Screen Display with 32GB Memory LED Lights, Support USB/SD Card, Slideshow, Instantly Share Photos Videos",59.99,79.99,4,5,0,0,0,Keyword,0.75,4.110709916,1.791759469,0,0.250031254,29,0
0,Audio,"Pyle Dash Cam, Rearview Mirror Monitor, Night Vision, 7.4” LCD Screen, Backup Camera, Slim Bar Design, Waterproof IP-69, G-Sensor, Audio Recording, 32GB Memory Slot, Universal Mount, Includes Cables",139.99,139.99,3.8,30,0,0,0,Keyword,0.75,4.948688966,3.433987204,0,0,28,0
